STT,type,tên giống loài,tuổi thọ trung bình,cân nặng trung bình,chiều cao trung bình,chiều dài trung bình,cách chăm,giá có giấy tờ,giá không giấy tờ,giá quốc tế,score_energy,score_space,score_grooming,score_kid_friendly,score_size,size_index
0,Dog,chihuahua,11 năm - 20 năm,1.5 – 3 kg,15 – 23 cm,24 – 38 cm,"Chihuahua có thể trạng nhỏ bé và khá nhạy cảm, vì vậy việc chăm sóc cần sự cẩn thận. Về chế độ ăn uống, chúng dễ bị hạ đường huyết nên cần được chia khẩu phần thành nhiều bữa nhỏ trong ngày thay vì cho ăn quá nhiều vào một bữa. Thức ăn nên giàu đạm, ít béo và có thể bổ sung rau củ quả mềm để hỗ trợ tiêu hóa. Do kích thước nhỏ, Chihuahua không cần vận động nhiều như các giống chó lớn; chỉ cần được dắt đi dạo khoảng 15–30 phút mỗi ngày và chơi trong nhà cũng đủ giúp chúng duy trì thể lực.  
  
Về sức khỏe, đây là giống chó dễ gặp vấn đề về răng miệng, do đó cần vệ sinh răng thường xuyên để tránh viêm nướu hoặc rụng răng sớm. Chúng cũng khá nhạy cảm với thời tiết lạnh, nên cần mặc áo giữ ấm khi trời trở lạnh hoặc khi đi ra ngoài vào mùa đông. Ngoài ra, vì xương khớp của Chihuahua yếu và dễ bị trật xương bánh chè hay viêm khí quản, bạn nên tránh để chó nhảy từ chỗ cao xuống hay vận động quá mạnh.  
  
Tính cách của Chihuahua rất thông minh, trung thành nhưng lại hay sủa nếu không được huấn luyện từ nhỏ. Việc xã hội hóa sớm là cần thiết để giúp chúng hòa đồng hơn, tránh cắn người lạ hoặc xung đột với các vật nuôi khác. Nếu được nuôi dạy đúng cách, Chihuahua sẽ trở thành một người bạn đồng hành tuyệt vời, thân thiết và giàu tình cảm.",10 – 20 triệu VNĐ,3 – 6 triệu VNĐ,500 – 2000 USD,2,1,2,2,small,0.3103516015510117
1,Dog,japanese_spaniel,10 năm - 14 năm,1.8 – 6.8 kg,20 – 28 cm,28 – 36 cm,"Japanese Spaniel là giống chó nhỏ, thanh lịch, thường được ví như “quý tộc cung đình Nhật Bản”. Vì có kích thước nhỏ và tính cách trầm tĩnh, chúng phù hợp sống trong căn hộ hoặc nhà phố. Về chế độ ăn uống, cần cho ăn khẩu phần cân bằng với protein từ thịt gà, cá hoặc cừu, kết hợp rau củ và một ít tinh bột. Do hệ tiêu hóa nhạy cảm, việc cho ăn cần đều đặn, tránh thức ăn dầu mỡ hoặc gia vị mạnh.  
  
Giống chó này có bộ lông dài, mượt và khá dày nên cần được chải chuốt thường xuyên, ít nhất 2–3 lần/tuần để tránh rối lông. Khi thời tiết nóng, bạn nên chú ý giữ mát cho chúng vì dễ bị sốc nhiệt, còn khi trời lạnh có thể cần thêm áo giữ ấm. Chúng không đòi hỏi vận động mạnh; chỉ cần được dắt đi dạo ngắn hoặc chơi nhẹ trong nhà mỗi ngày là đủ để duy trì thể trạng và tinh thần.  
  
Về sức khỏe, Japanese Spaniel dễ gặp vấn đề về mắt (lồi, khô mắt, viêm giác mạc), đường hô hấp (do mặt ngắn) và răng miệng. Vì vậy cần vệ sinh răng định kỳ và đưa đi kiểm tra thú y đều đặn. Đây cũng là giống chó nhạy cảm về cảm xúc, thường gắn bó và quấn chủ, nên cần được quan tâm và tránh để chúng cô đơn quá lâu. Nếu được nuôi dưỡng đúng cách, Japanese Spaniel sẽ là một chú chó nhỏ thanh lịch, tình cảm và rất trung thành.",20 – 40 triệu VNĐ,10 – 20 triệu VNĐ,1500 – 3000 USD (những con có gia phả đẹp có thể tới 5000 USD),2,5,4,4,small,0.3887704516443291
2,Dog,maltese_dog,12 năm - 15 năm ,2.5 – 3.2 kg,20 – 25 cm,25 – 30 cm,"Maltese là giống chó nhỏ nhắn, quý phái với bộ lông trắng muốt dài thướt tha, vì vậy việc chăm sóc lông là ưu tiên hàng đầu. Bộ lông cần được chải chuốt hằng ngày để tránh rối và tắm thường xuyên bằng sữa tắm chuyên dụng cho chó lông trắng để giữ màu sáng đẹp. Nhiều người cắt tỉa ngắn để dễ chăm sóc và vệ sinh. Đặc biệt, lông quanh mắt dễ bị ố vàng nên cần lau sạch bằng khăn ẩm hoặc dung dịch chuyên dụng.  
  
Về chế độ ăn uống, Maltese cần được cung cấp thức ăn giàu protein từ thịt gà, cá hồi hoặc cừu kết hợp với rau củ. Do kích thước nhỏ, chúng dễ bị thừa cân nếu cho ăn quá nhiều, nên cần kiểm soát khẩu phần và chia thành 2–3 bữa nhỏ mỗi ngày. Maltese khá hiếu động và thông minh, vì vậy cần được dắt đi dạo hoặc cho chơi trong nhà hằng ngày để giải phóng năng lượng và duy trì tinh thần vui vẻ.  
  
Về sức khỏe, Maltese dễ mắc bệnh răng miệng do hàm nhỏ, nên cần đánh răng định kỳ và cho nhai đồ gặm sạch răng. Ngoài ra, chúng cũng nhạy cảm với đường hô hấp và có thể gặp vấn đề về khớp xương như trật xương bánh chè. Đây là giống chó rất thân thiện, thông minh và quấn chủ, thích được ở gần người, nên không phù hợp để ở một mình quá lâu vì có thể bị lo âu chia ly. Nếu được nuôi dưỡng và chăm sóc đúng cách, Maltese sẽ là một chú chó nhỏ xinh xắn, sạch sẽ và cực kỳ tình cảm.",20 – 40 triệu VNĐ,8 – 15 triệu VNĐ,1500 – 4000 USD (cá thể có dòng dõi đẹp có thể lên tới 5000 USD),3,2,5,4,small,0.3297939894722369
3,Dog,pekinese,12 năm - 15 năm ,3.2 – 6.4 kg,15 – 23 cm,25 – 33 cm,"Pekingese là giống chó nhỏ có bộ lông dài, dày và gương mặt dẹt đặc trưng. Chính vì vậy, việc chăm sóc lông là điều quan trọng hàng đầu. Lông cần được chải chuốt hằng ngày để tránh rối và rụng nhiều, đồng thời nên tắm đều đặn bằng sữa tắm chuyên dụng để giữ lông sạch và bóng mượt. Do có nhiều nếp nhăn quanh mặt, bạn cần thường xuyên lau sạch để tránh viêm da hoặc nhiễm khuẩn.  
  
Về chế độ ăn uống, Pekingese dễ bị béo phì do tính cách ít vận động, vì vậy cần cho ăn khẩu phần hợp lý, nhiều protein từ thịt nạc (gà, cá, bò), kết hợp với rau củ quả. Nên chia thành 2–3 bữa/ngày và hạn chế thức ăn nhiều tinh bột hoặc dầu mỡ. Giống chó này không cần vận động mạnh, nhưng vẫn nên được dắt đi dạo nhẹ nhàng 20–30 phút mỗi ngày để duy trì sức khỏe và tránh thừa cân.  
  
Về sức khỏe, do cấu tạo mặt ngắn (brachycephalic), Pekingese dễ bị khó thở, đặc biệt trong môi trường nóng ẩm, nên cần giữ mát và tránh cho ra ngoài khi trời quá nóng. Chúng cũng dễ gặp bệnh về mắt (khô mắt, viêm giác mạc) và cột sống (do thân dài). Ngoài ra, giống chó này rất gắn bó với chủ, thông minh nhưng có chút bướng bỉnh, vì vậy cần huấn luyện kiên nhẫn và xã hội hóa từ sớm để sống hòa thuận với trẻ em và thú cưng khác.  
  
Nếu được nuôi dưỡng và chăm sóc chu đáo, Pekingese sẽ trở thành một người bạn nhỏ trung thành, điềm tĩnh và giàu tình cảm, đúng như hình ảnh ""chó quý tộc cung đình"" trong lịch sử Trung Hoa.",15 – 30 triệu VNĐ,7 – 12 triệu VNĐ,1500 – 3000 USD (cá thể có huyết thống cao cấp có thể đạt 5000 USD),2,2,5,3,small,0.35195787812662
4,Dog,shih_tzu,10 năm - 16 năm ,4 – 8 kg,20 – 27 cm,28 – 34 cm,"Shih Tzu nổi bật với bộ lông dài, mượt và gương mặt tròn dễ thương. Bộ lông của chúng cần được chăm sóc kỹ lưỡng: chải chuốt hằng ngày để tránh rối, tắm thường xuyên và có thể cắt tỉa ngắn để dễ vệ sinh và thoải mái hơn trong khí hậu nóng ẩm như Việt Nam. Lông quanh mắt nên được lau sạch thường xuyên vì dễ bị ố vàng và gây viêm nhiễm nếu không được chăm sóc kỹ.  
  
Về chế độ ăn uống, Shih Tzu có thể trạng nhỏ, không cần ăn quá nhiều nhưng cần khẩu phần giàu protein (thịt gà, cá hồi, cừu) kết hợp với rau củ quả. Nên chia thành 2–3 bữa/ngày, hạn chế thức ăn dầu mỡ và đồ ăn của người. Do dễ béo phì, cần kiểm soát lượng thức ăn và tăng cường vận động hợp lý.  
  
Shih Tzu không đòi hỏi vận động mạnh, chỉ cần dắt đi dạo 20–30 phút/ngày hoặc cho chơi trong nhà là đủ. Tuy nhiên, vì cấu tạo mặt ngắn (brachycephalic), chúng dễ bị khó thở trong môi trường nóng, nên tránh cho ra ngoài khi trời quá oi bức. Ngoài ra, giống chó này dễ mắc bệnh răng miệng và mắt, do đó cần vệ sinh răng định kỳ và kiểm tra mắt thường xuyên.  
  
Tính cách Shih Tzu rất thân thiện, hiền lành và tình cảm, phù hợp với gia đình có trẻ nhỏ hoặc người lớn tuổi. Chúng ít sủa hơn Chihuahua hay Pekingese, khá dễ huấn luyện và thích ở gần chủ. Nếu được chăm sóc tốt, Shih Tzu sẽ là một người bạn nhỏ trung thành, hiền hòa và rất gắn bó với gia đình.",15 – 30 triệu VNĐ,6 – 12 triệu VNĐ,1000 – 2500 USD (cá thể có gia phả xuất sắc có thể đạt 5000 USD),2,2,5,5,small,0.4146819518168486
5,Dog,blenheim_spaniel,9 năm - 14 năm ,5.9 – 8.2 kg,30 – 33 cm,45 – 53 cm,"Cavalier King Charles Spaniel, đặc biệt với màu Blenheim, nổi bật bởi vẻ ngoài sang trọng, đôi mắt to tròn và tính cách hiền hòa. Bộ lông dài, mượt và hơi gợn sóng cần được chải 2–3 lần mỗi tuần để tránh rối, đồng thời nên tắm định kỳ để giữ lông sạch và bóng. Lông quanh tai và chân có xu hướng dễ rối và bẩn, nên chú ý vệ sinh kỹ.  
  
Về chế độ ăn uống, giống chó này cần khẩu phần giàu protein từ thịt gà, cá, thịt bò kết hợp với rau củ để cân bằng dinh dưỡng. Do có xu hướng dễ béo phì, cần kiểm soát lượng thức ăn, tránh cho ăn quá nhiều đồ ăn vặt hoặc thức ăn của người. Nên chia khẩu phần thành 2–3 bữa/ngày và kết hợp cùng việc vận động hằng ngày.  
  
Giống chó này khá năng động nhưng không đòi hỏi vận động mạnh như các giống chó săn khác. Dắt đi dạo khoảng 30 phút/ngày hoặc chơi đùa trong sân vườn là đủ để giúp chúng duy trì thể lực và tinh thần. Tuy nhiên, Cavalier King Charles Spaniel có thể gặp một số vấn đề sức khỏe di truyền, đặc biệt là bệnh tim (hẹp van hai lá), bệnh mắt và trật xương bánh chè. Vì vậy, việc kiểm tra thú y định kỳ là rất quan trọng.  
  
Về tính cách, Blenheim Spaniel hiền lành, thân thiện và cực kỳ tình cảm. Chúng thích ở gần người, hòa đồng với trẻ nhỏ và vật nuôi khác, phù hợp làm chó đồng hành trong gia đình. Tuy nhiên, chúng không thích bị bỏ lại một mình quá lâu vì dễ lo âu chia ly. Nếu được nuôi dưỡng và quan tâm đúng cách, Blenheim Spaniel sẽ là một chú chó nhỏ trung thành, thân thiện và đầy yêu thương.",25 – 40 triệu VNĐ,12 – 20 triệu VNĐ,2000 – 4000 USD (cá thể có gia phả nổi bật có thể trên 5000 USD),3,2,4,5,small,0.5696352635873144
6,Dog,papillon,12 năm - 16 năm ,3 – 5 kg,20 – 28 cm,28 – 36 cm,"Papillon có ngoại hình thanh thoát, đặc trưng với đôi tai dựng to và xòe ra như cánh bướm. Đây là giống chó nhỏ nhưng năng động, thông minh và rất thích vận động. Vì vậy, cần cho Papillon tham gia các hoạt động thường xuyên như đi dạo, chơi đồ chơi tương tác hoặc tham gia huấn luyện agility. Chúng cần ít nhất 30 phút vận động mỗi ngày để tránh buồn chán và phá phách.  
  
Bộ lông Papillon mượt, dài vừa phải và không có lớp lông lót dày, nên việc chăm sóc lông khá dễ dàng. Chỉ cần chải 2–3 lần/tuần để giữ lông suôn mượt và hạn chế rối, không cần tắm quá thường xuyên, khoảng 3–4 tuần/lần là đủ. Lông ở tai và đuôi thường dài và đẹp, nên được giữ sạch để tránh bẩn và hư tổn.  
  
Về chế độ ăn, Papillon cần thức ăn giàu đạm, ít béo, kết hợp rau củ quả để hỗ trợ tiêu hóa. Do kích thước nhỏ, khẩu phần ăn không cần quá nhiều nhưng phải đảm bảo chất lượng. Nên chia thành 2–3 bữa nhỏ/ngày, tránh thức ăn dầu mỡ hoặc nhiều tinh bột vì dễ dẫn tới béo phì.  
  
Papillon có sức khỏe khá tốt nhưng cũng có một số nguy cơ như trật xương bánh chè, vấn đề về răng miệng (hàm nhỏ dễ tích tụ cao răng) và bệnh tim bẩm sinh. Cần vệ sinh răng định kỳ, hạn chế để chúng nhảy từ chỗ cao xuống và đưa đi khám thú y thường xuyên. Về tính cách, Papillon rất thông minh, dễ huấn luyện và ham học hỏi, thích hợp với người mới nuôi nhưng cũng cần chủ năng động. Đây là một giống chó nhỏ duyên dáng, thông minh và trung thành, luôn sẵn sàng trở thành bạn đồng hành vui vẻ cho gia đình.",18 – 35 triệu VNĐ,8 – 15 triệu VNĐ,1500 – 3500 USD (cá thể có gia phả đẹp có thể lên tới 5000 USD),4,2,2,4,small,0.3828177543283577
7,Dog,toy_terrier,12 năm - 15 năm ,2.7 – 3.6 kg,25 – 30 cm,35 – 42 cm,"Toy Terrier có kích thước nhỏ bé, cơ thể săn chắc và tính cách hoạt bát. Do vóc dáng nhỏ, chúng không cần vận động quá nhiều, nhưng vẫn rất hiếu động và thích chơi đùa. Mỗi ngày, nên cho chúng đi dạo ngắn 20–30 phút hoặc chơi với đồ chơi trong nhà để giải phóng năng lượng. Giống chó này thông minh và nhanh nhẹn, vì vậy cũng dễ huấn luyện cơ bản nếu kiên nhẫn và nhất quán.  
  
Bộ lông của Toy Terrier thường ngắn, mượt nên rất dễ chăm sóc, chỉ cần chải 1–2 lần/tuần và tắm khoảng 3–4 tuần/lần. Do cơ thể nhỏ và ít mỡ, chúng khá nhạy cảm với thời tiết lạnh, vì vậy cần giữ ấm bằng áo khi ra ngoài trời lạnh.  
  
Về chế độ ăn, Toy Terrier có dạ dày nhỏ, nên cần chia thành nhiều bữa nhỏ (2–3 bữa/ngày) với khẩu phần giàu protein, ít béo. Cần tránh thức ăn quá nhiều dầu mỡ hoặc gia vị, cũng như đồ ăn của người. Ngoài ra, vì giống chó này dễ mắc bệnh răng miệng, cần vệ sinh răng thường xuyên hoặc cho nhai đồ gặm làm sạch răng.  
  
Về sức khỏe, Toy Terrier nhìn chung khỏe mạnh, nhưng có thể gặp một số vấn đề như trật xương bánh chè, bệnh về mắt, và hạ đường huyết (giống như Chihuahua). Đây là giống chó tình cảm, gắn bó với chủ, nhưng có thể hơi nhạy cảm và cảnh giác với người lạ, nên cần xã hội hóa từ nhỏ. Nếu được nuôi dưỡng tốt, Toy Terrier sẽ là một chú chó nhỏ trung thành, thông minh và cực kỳ năng động.",15 – 30 triệu VNĐ,6 – 12 triệu VNĐ,1000 – 2500 USD (những cá thể có gia phả tốt có thể đạt 4000 USD),3,1,1,3,small,0.4184470249397937
8,Dog,rhodesian_ridgeback,10 năm - 12 năm ,32 – 37 kg,61 – 69 cm,85 – 95 cm,"Rhodesian Ridgeback là giống chó săn dũng mãnh, khỏe mạnh và thông minh, vốn nổi tiếng ở châu Phi với khả năng đối đầu cả sư tử. Vì vậy, chúng cần một chế độ vận động cường độ cao hằng ngày. Chủ nuôi phải cho Ridgeback chạy bộ, kéo tạ nhẹ, hoặc tham gia các trò chơi vận động mạnh ít nhất 1 – 2 giờ mỗi ngày. Nếu nuôi trong môi trường chật hẹp và ít vận động, chúng dễ trở nên bồn chồn và phá phách.  
  
Về chế độ ăn uống, Ridgeback cần khẩu phần giàu đạm và năng lượng từ thịt bò, gà, cá, trứng, kết hợp rau củ và ngũ cốc để đảm bảo sức bền. Không nên cho ăn quá nhiều tinh bột hoặc thức ăn nhiều dầu mỡ vì dễ gây béo phì. Giống chó này khá khỏe mạnh, ít bệnh di truyền, nhưng có thể gặp các vấn đề về khớp (loạn sản xương hông, khuỷu) hoặc bệnh da, vì vậy cần kiểm tra định kỳ.  
  
Ridgeback là giống chó trung thành, nhưng cũng độc lập và có phần bướng bỉnh. Việc huấn luyện cần kiên nhẫn, áp dụng các phương pháp dứt khoát nhưng không bạo lực. Chúng bảo vệ gia đình rất tốt, thường có tính cảnh giác cao, nhưng cần được xã hội hóa từ nhỏ để không trở nên quá hung dữ. Ridgeback phù hợp với người nuôi có kinh nghiệm và không phải là lựa chọn lý tưởng cho người mới bắt đầu nuôi chó.",25 – 40 triệu VNĐ,15 – 25 triệu VNĐ,2500 – 5000 USD,5,4,2,3,large,1.5213858461383958
9,Dog,afghan_hound,12 năm - 14 năm ,20 – 27 kg,61 – 74 cm,85 – 95 cm,"Afghan Hound là giống chó quý tộc đến từ Trung Á, nổi bật với bộ lông dài, mượt mà và dáng vẻ thanh thoát. Chúng cần được chăm sóc lông hằng ngày bằng việc chải chuốt để tránh rối và rụng lông quá nhiều. Ngoài ra, cứ khoảng 1–2 tuần bạn nên tắm cho chúng bằng dầu gội chuyên dụng cho chó lông dài, sau đó sấy khô kỹ càng để giữ bộ lông óng ả. Đây là công việc tốn nhiều thời gian nên người nuôi cần kiên nhẫn và có điều kiện chăm sóc.  
  
Về chế độ ăn, Afghan Hound cần nguồn dinh dưỡng cân đối, đặc biệt là protein từ thịt gà, bò, cá để duy trì cơ bắp và năng lượng, kết hợp rau củ quả để hỗ trợ tiêu hóa. Do có dạ dày khá nhạy cảm, bạn nên chia khẩu phần ăn thành nhiều bữa nhỏ trong ngày, hạn chế cho ăn thức ăn nhiều dầu mỡ hoặc gia vị.  
  
Afghan Hound là giống chó săn nhanh nhẹn, vì vậy chúng cần nhiều vận động. Bạn nên cho chúng chạy bộ, chơi kéo co hoặc tham gia các hoạt động ngoài trời ít nhất 1–2 giờ mỗi ngày. Nếu bị nhốt trong nhà quá lâu, chúng dễ trở nên buồn chán hoặc stress.  
  
Về tính cách, Afghan Hound độc lập, đôi khi khá “kiêu kỳ” và khó huấn luyện so với các giống chó khác. Tuy nhiên, chúng cũng rất trung thành và tình cảm với chủ nhân. Việc huấn luyện cần kiên nhẫn, nhẹ nhàng nhưng kiên định, và nên bắt đầu từ khi còn nhỏ để tạo thói quen tốt. Với ngoại hình sang trọng và tính cách độc đáo, Afghan Hound thường được xem như một giống chó “nghệ sĩ” dành cho những người nuôi yêu cái đẹp và có nhiều thời gian chăm sóc.",30 – 50 triệu VNĐ,20 – 30 triệu VNĐ,3000 – 6000 USD,5,4,5,2,large,1.3197434077840011
