STT,type,tên giống loài,tuổi thọ trung bình,cân nặng trung bình,chiều cao trung bình,chiều dài trung bình,cách chăm,giá có giấy tờ,giá không giấy tờ,giá quốc tế,score_energy,score_space,score_grooming,score_kid_friendly,score_size,size_index
47,Dog,standard_schnauzer,12 năm – 15 năm,14 – 20 kg,45 – 50 cm,55 – 65 cm,"Standard Schnauzer là giống chó sục trung bình xuất xứ từ Đức, nổi bật với cơ thể rắn chắc, lông kép cứng thô và bộ ria mép đặc trưng. Chúng thông minh, trung thành, cảnh giác và rất tình cảm với gia đình. Đây là giống chó năng động, dễ huấn luyện và có bản năng bảo vệ cao, phù hợp làm thú cưng, chó canh gác hoặc chó đồng hành trong các hoạt động ngoài trời.  
  
Giống chó này cần vận động đều đặn mỗi ngày bằng các buổi đi dạo, chạy nhảy hoặc chơi các trò chơi tương tác. Việc vận động và kích thích trí tuệ thông qua huấn luyện agility hoặc obedience sẽ giúp Standard Schnauzer duy trì sức khỏe thể chất và tinh thần minh mẫn. Huấn luyện nên kiên nhẫn, nhất quán và sử dụng phương pháp tích cực để kiểm soát tính cách mạnh mẽ và phát huy trí thông minh.  
  
Bộ lông của Standard Schnauzer cần chải 2 – 3 lần/tuần để loại bỏ lông rụng, đồng thời tỉa lông định kỳ hoặc “hand-stripping” để giữ kết cấu lông chắc khỏe và chuẩn dáng. Vệ sinh tai, răng và cắt móng thường xuyên cũng rất quan trọng để duy trì sức khỏe tổng thể.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng kết hợp rau củ quả và tinh bột nguyên hạt. Do đặc điểm năng động, khẩu phần nên chia thành nhiều bữa nhỏ và tránh thức ăn dầu mỡ hoặc đồ ăn thừa của con người.  
  
Về sức khỏe, Standard Schnauzer nhìn chung khỏe mạnh nhưng có thể gặp một số vấn đề về tim, mắt hoặc khớp. Khám thú y định kỳ và chăm sóc đúng cách sẽ giúp chúng sống lâu, khỏe mạnh và hạnh phúc bên gia đình.",35 – 60 triệu VNĐ,15 – 30 triệu VNĐ,2000 – 4500 USD,5,4,4,4,medium,0.922908500935982
48,Dog,scotch_terrier,11 năm – 13 năm,8.5 – 10.5 kg,25 – 28 cm,40 – 50 cm,"Scotch Terrier là giống chó sục nhỏ gọn xuất xứ từ Scotland, nổi bật với ngoại hình khỏe khoắn, lông kép dày, thô và bộ ria mép cùng lông mặt đặc trưng tạo thành kiểu “beard”. Chúng thông minh, trung thành, dũng cảm và có bản năng săn mồi, đồng thời gắn bó và tình cảm với gia đình. Scotch Terrier hòa đồng với người thân nhưng đôi khi có thể bướng bỉnh và cảnh giác với người lạ.  
  
Giống chó này cần vận động hằng ngày bằng các buổi đi dạo, chạy nhảy ngoài sân vườn hoặc chơi các trò chơi tương tác. Mặc dù nhỏ, Scotch Terrier năng động và thích khám phá, nên việc giải phóng năng lượng thường xuyên sẽ giúp chúng giảm stress và duy trì tinh thần vui vẻ. Huấn luyện nên bắt đầu sớm, kiên nhẫn và sử dụng phương pháp tích cực để kiểm soát tính cách mạnh mẽ và phát huy trí thông minh.  
  
Bộ lông của Scotch Terrier cần chải 2 – 3 lần/tuần để loại bỏ lông rụng, giữ lông gọn gàng và chuẩn dáng. Định kỳ tỉa lông hoặc “hand-stripping” giúp duy trì kết cấu lông khỏe mạnh. Vệ sinh tai, răng và cắt móng đều đặn cũng rất quan trọng để bảo vệ sức khỏe tổng thể.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng, kết hợp rau củ quả và tinh bột nguyên hạt. Vì là giống chó nhỏ nhưng năng động, khẩu phần nên chia thành nhiều bữa nhỏ và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa của con người.  
  
Về sức khỏe, Scotch Terrier có thể gặp một số vấn đề về da, tim và mắt. Khám thú y định kỳ, duy trì vận động hợp lý và chế độ ăn cân đối sẽ giúp chúng sống khỏe mạnh, kéo dài tuổi thọ và hạnh phúc bên gia đình.",30 – 55 triệu VNĐ,15 – 25 triệu VNĐ,2000 – 4500 USD,3,2,5,3,small,0.567019397318345
49,Dog,tibetan_terrier,12 năm – 15 năm,8 – 14 kg,36 – 41 cm,45 – 55 cm,"Tibetan Terrier là giống chó sục trung bình xuất xứ từ Tây Tạng, nổi bật với ngoại hình uyển chuyển, bộ lông dài, dày và mềm mại, che phủ toàn bộ cơ thể và chân. Chúng thông minh, tình cảm, trung thành và gắn bó mạnh mẽ với gia đình. Tibetan Terrier hòa đồng với trẻ em, có bản năng canh gác và cảnh giác với người lạ nhưng không hung dữ.  
  
Giống chó này cần được vận động đều đặn hằng ngày thông qua các buổi đi dạo, chạy nhảy nhẹ hoặc chơi trò chơi tương tác trong nhà và ngoài sân. Chúng thích khám phá môi trường xung quanh và tham gia các hoạt động huấn luyện nhẹ nhàng. Việc vận động thường xuyên giúp duy trì sức khỏe, tinh thần vui vẻ và tránh nghịch phá.  
  
Bộ lông dài của Tibetan Terrier đòi hỏi chăm sóc kỹ lưỡng, cần chải lông ít nhất 2 – 3 lần/tuần để tránh rối, loại bỏ lông rụng và giữ lông mềm mượt. Định kỳ cắt tỉa lông quanh mắt, tai và bàn chân để đảm bảo thoải mái và sạch sẽ. Vệ sinh tai, răng và móng thường xuyên cũng rất quan trọng để duy trì sức khỏe tổng thể.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng, kết hợp rau củ quả và tinh bột nguyên hạt. Vì là giống chó có lông dài và năng động, nên chia khẩu phần thành nhiều bữa nhỏ trong ngày, tránh thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Tibetan Terrier nhìn chung khỏe mạnh nhưng có thể gặp các vấn đề về mắt, khớp hoặc dạ dày. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, vui vẻ và hạnh phúc bên gia đình.",30 – 55 triệu VNĐ,15 – 25 triệu VNĐ,2000 – 4500 USD,3,3,5,5,small,0.6990530339334259
50,Dog,silky_terrier,12 năm – 15 năm,3.5 – 4.5 kg,23 – 26 cm,30 – 35 cm,"Silky Terrier là giống chó sục nhỏ gọn, xuất xứ từ Úc, nổi bật với bộ lông dài, mượt mà như tơ, khuôn mặt thanh tú và đôi tai dựng. Chúng thông minh, lanh lợi, tình cảm và rất trung thành với gia đình. Silky Terrier hòa đồng với trẻ em và các thú cưng khác, thích hợp làm thú cưng trong căn hộ hoặc nhà có sân nhỏ.  
  
Giống chó này cần vận động đều đặn hàng ngày thông qua các buổi đi dạo, chạy nhảy nhẹ và các trò chơi tương tác trong nhà hoặc sân vườn. Dù nhỏ, Silky Terrier rất năng động và thích khám phá, việc vận động thường xuyên giúp chúng duy trì sức khỏe và tránh nghịch phá. Huấn luyện nên kiên nhẫn, sử dụng phương pháp tích cực để phát huy trí thông minh và kiểm soát tính cách hơi bướng bỉnh.  
  
Bộ lông dài mượt của Silky Terrier đòi hỏi chải lông hàng ngày để tránh rối, giữ lông mềm mượt và sạch sẽ. Định kỳ tỉa lông quanh mắt, tai và bàn chân để đảm bảo thoải mái. Vệ sinh tai, răng và cắt móng đều đặn cũng rất cần thiết để bảo vệ sức khỏe tổng thể.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng kết hợp rau củ quả và tinh bột nguyên hạt. Vì kích thước nhỏ, nên chia khẩu phần thành nhiều bữa nhỏ trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Silky Terrier có thể gặp các vấn đề về răng, mắt, khớp hoặc da. Khám thú y định kỳ và chăm sóc đúng cách sẽ giúp chúng sống lâu, khỏe mạnh và hạnh phúc bên gia đình.",30 – 55 triệu VNĐ,15 – 25 triệu VNĐ,2000 – 4500 USD,4,2,5,4,small,0.388390292960472
51,Dog,soft_coated_wheaten_terrier,12 năm – 15 năm,14 – 20 kg,43 – 48 cm,55 – 65 cm,"Soft-Coated Wheaten Terrier là giống chó sục trung bình, xuất xứ từ Ireland, nổi bật với bộ lông mềm, mượt, màu lúa mạch đặc trưng và thân hình cân đối. Chúng thông minh, năng động, tình cảm và rất trung thành với gia đình. Wheaten Terrier hòa đồng với trẻ em và các thú cưng khác, đồng thời có tính cách vui vẻ, thích khám phá và tinh nghịch.  
  
Giống chó này cần vận động đều đặn hằng ngày thông qua các buổi đi dạo, chạy nhảy ngoài sân vườn hoặc chơi các trò chơi tương tác. Việc vận động thường xuyên giúp Wheaten Terrier duy trì sức khỏe thể chất, tinh thần vui vẻ và tránh nghịch phá. Huấn luyện nên kiên nhẫn, nhất quán và sử dụng phương pháp tích cực để phát huy trí thông minh và kiểm soát sự hiếu động của chúng.  
  
Bộ lông mềm mượt của Wheaten Terrier cần chải ít nhất 2 – 3 lần/tuần để tránh rối, giữ lông gọn gàng và sạch sẽ. Định kỳ cắt tỉa lông quanh mắt, tai và bàn chân để đảm bảo thoải mái. Vệ sinh tai, răng và cắt móng đều đặn cũng rất quan trọng để duy trì sức khỏe tổng thể.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng, kết hợp rau củ quả và tinh bột nguyên hạt. Vì năng động, nên chia khẩu phần ăn thành nhiều bữa nhỏ trong ngày và hạn chế thức ăn nhiều dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Soft-Coated Wheaten Terrier có thể gặp một số vấn đề về thận, khớp hoặc da. Khám thú y định kỳ và chăm sóc đúng cách sẽ giúp chúng sống khỏe mạnh, vui vẻ và hạnh phúc bên gia đình.",30 – 55 triệu VNĐ,15 – 25 triệu VNĐ,2000 – 4500 USD,5,4,4,5,medium,0.9096099970176726
52,Dog,west_highland_white_terrier,12 năm – 16 năm,6 – 9 kg,25 – 28 cm,35 – 40 cm,"West Highland White Terrier là giống chó sục nhỏ gọn, xuất xứ từ Scotland, nổi bật với bộ lông trắng dày, thô và khuôn mặt đáng yêu với đôi mắt sáng. Chúng thông minh, năng động, trung thành và rất gắn bó với gia đình. Westie hòa đồng với trẻ em, tinh nghịch và thích khám phá môi trường xung quanh, đồng thời có bản năng canh gác tốt.  
  
Giống chó này cần vận động đều đặn hằng ngày bằng các buổi đi dạo, chạy nhảy ngoài sân vườn hoặc chơi các trò chơi tương tác. Việc vận động thường xuyên giúp Westie duy trì thể chất khỏe mạnh, tinh thần vui vẻ và tránh nghịch phá. Huấn luyện nên kiên nhẫn, sử dụng phương pháp tích cực để phát huy trí thông minh và kiểm soát sự hiếu động.  
  
Bộ lông trắng của Westie cần chải ít nhất 2 – 3 lần/tuần để loại bỏ lông rụng, tránh rối và giữ vẻ ngoài gọn gàng. Định kỳ tỉa lông quanh mắt, tai và bàn chân để đảm bảo thoải mái và sạch sẽ. Vệ sinh tai, răng và cắt móng đều đặn cũng rất cần thiết để duy trì sức khỏe tổng thể.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng kết hợp rau củ quả và tinh bột nguyên hạt. Vì là giống chó nhỏ nhưng năng động, nên chia khẩu phần thành nhiều bữa nhỏ trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa của con người.  
  
Về sức khỏe, West Highland White Terrier có thể gặp các vấn đề về da, răng, mắt hoặc khớp. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, vui vẻ và hạnh phúc bên gia đình.",30 – 55 triệu VNĐ,15 – 25 triệu VNĐ,2000 – 4500 USD,4,2,4,4,small,0.493616058757149
53,Dog,lhasa,12 năm – 15 năm,5 – 8 kg,25 – 28 cm,35 – 40 cm,"Lhasa Apso là giống chó sục nhỏ gọn xuất xứ từ Tây Tạng, nổi bật với bộ lông dài, dày và mềm mại, phủ kín cơ thể từ đầu đến chân, cùng khuôn mặt đáng yêu với đôi mắt sáng và bộ ria mép đặc trưng. Chúng thông minh, trung thành, cảnh giác và gắn bó mạnh mẽ với gia đình. Lhasa Apso hòa đồng với trẻ em, nhưng đôi khi có tính cách hơi độc lập và kiên quyết.  
  
Giống chó này cần vận động đều đặn hằng ngày thông qua các buổi đi dạo ngắn, chạy nhảy nhẹ hoặc chơi trò chơi tương tác trong nhà và sân vườn. Mặc dù nhỏ nhưng năng động, việc vận động thường xuyên giúp Lhasa Apso duy trì sức khỏe thể chất và tinh thần vui vẻ, tránh nghịch phá. Huấn luyện nên kiên nhẫn, sử dụng phương pháp tích cực để phát huy trí thông minh và kiểm soát tính cách độc lập của chúng.  
  
Bộ lông dài của Lhasa Apso đòi hỏi chải lông hàng ngày để tránh rối, giữ lông mềm mượt và sạch sẽ. Định kỳ tỉa lông quanh mắt, tai và bàn chân để đảm bảo thoải mái và gọn gàng. Vệ sinh tai, răng và cắt móng đều đặn cũng rất quan trọng để duy trì sức khỏe tổng thể.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng kết hợp rau củ quả và tinh bột nguyên hạt. Vì kích thước nhỏ nhưng năng động, nên chia khẩu phần thành nhiều bữa nhỏ trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Lhasa Apso có thể gặp một số vấn đề về mắt, hô hấp, khớp hoặc da. Khám thú y định kỳ và chăm sóc lông, dinh dưỡng đúng cách sẽ giúp chúng sống lâu, khỏe mạnh và hạnh phúc bên gia đình.",30 – 55 triệu VNĐ,15 – 25 triệu VNĐ,2000 – 4500 USD,3,2,5,4,small,0.473773734370578
54,Dog,flat_coated_retriever,8 năm – 10 năm,27 – 36 kg,56 – 62 cm,85 – 100 cm,"Flat-Coated Retriever là giống chó săn mồi xuất xứ từ Anh, nổi bật với ngoại hình cân đối, thân hình mạnh mẽ và bộ lông dài, mượt, óng sáng, thường có màu đen hoặc nâu. Chúng thông minh, năng động, vui vẻ, trung thành và rất thân thiện với con người, đặc biệt phù hợp với gia đình có trẻ em. Đây là giống chó ham học hỏi, thích tham gia các hoạt động ngoài trời và có bản năng săn mồi cao.  
  
Giống chó này cần vận động đều đặn mỗi ngày thông qua các buổi đi dạo, chạy nhảy, bơi lội hoặc tham gia các trò chơi tìm kiếm, ném bóng. Việc vận động thường xuyên giúp duy trì sức khỏe thể chất, tinh thần minh mẫn và hạn chế các hành vi phá phách. Huấn luyện nên kiên nhẫn, nhất quán và sử dụng phương pháp tích cực để phát huy trí thông minh và bản năng học hỏi tự nhiên của Flat-Coated Retriever.  
  
Bộ lông dài, mượt của Flat-Coated Retriever cần được chải ít nhất 2 – 3 lần/tuần để loại bỏ lông rụng, giữ lông bóng mượt và tránh rối. Định kỳ tắm, cắt tỉa lông quanh tai, chân và mắt sẽ giúp chó gọn gàng, sạch sẽ. Vệ sinh tai, răng và cắt móng thường xuyên cũng rất quan trọng để duy trì sức khỏe tổng thể.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng, kết hợp rau củ quả và tinh bột nguyên hạt. Vì năng động và vận động nhiều, khẩu phần ăn nên cân đối, chia đều trong ngày, hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Flat-Coated Retriever có thể gặp một số vấn đề về xương khớp, tim mạch và ung thư. Khám thú y định kỳ, duy trì vận động hợp lý và chế độ dinh dưỡng cân đối sẽ giúp chúng sống khỏe mạnh, năng động và hạnh phúc bên gia đình.",40 – 70 triệu VNĐ,20 – 35 triệu VNĐ,2500 – 5000 USD,5,4,3,5,large,1.4332029244864395
55,Dog,curly_coated_retriever,10 năm – 12 năm,27 – 36 kg,58 – 69 cm,85 – 100 cm,"Curly-Coated Retriever là giống chó săn mồi xuất xứ từ Anh, nổi bật với bộ lông xoăn đặc trưng, dày và cứng, giúp bảo vệ cơ thể khi làm việc trong nước hoặc thời tiết khắc nghiệt. Chúng thông minh, năng động, độc lập nhưng rất trung thành và gắn bó với gia đình. Đây là giống chó ham vận động, yêu thích bơi lội, săn mồi và các hoạt động ngoài trời.  
  
Giống chó này cần vận động đều đặn hằng ngày bằng các buổi đi dạo, chạy nhảy, bơi lội hoặc tham gia các trò chơi tương tác. Việc vận động thường xuyên giúp Curly-Coated Retriever duy trì sức khỏe thể chất và tinh thần vui vẻ, đồng thời hạn chế hành vi phá phách. Huấn luyện nên kiên nhẫn, sử dụng phương pháp tích cực và nhất quán để phát huy trí thông minh và bản năng học hỏi tự nhiên của chúng.  
  
Bộ lông xoăn đặc trưng cần được chải đều 1 – 2 lần/tuần để loại bỏ lông rụng, giữ lông sạch sẽ và bóng khỏe. Tắm định kỳ, vệ sinh tai, cắt móng và chăm sóc răng miệng đều đặn giúp duy trì sức khỏe tổng thể. Vì lông dày và xoăn, không nên chải quá mạnh hoặc quá thường xuyên, tránh làm tổn thương lớp lông bảo vệ tự nhiên.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng, kết hợp rau củ quả và tinh bột nguyên hạt. Vì Curly-Coated Retriever vận động nhiều, khẩu phần ăn nên cân đối, chia đều trong ngày và hạn chế thức ăn nhiều dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, giống chó này có thể gặp một số vấn đề về xương khớp, tim mạch và da. Khám thú y định kỳ, vận động hợp lý và chăm sóc lông đúng cách sẽ giúp chúng sống khỏe mạnh, năng động và hạnh phúc bên gia đình.",40 – 70 triệu VNĐ,20 – 35 triệu VNĐ,2500 – 5000 USD,5,4,2,4,large,1.463124558302635
56,Dog,golden_retriever,10 năm – 12 năm,25 – 34 kg,51 – 61 cm,80 – 95 cm,"Golden Retriever là giống chó săn mồi xuất xứ từ Scotland, nổi bật với bộ lông dài, dày, mềm mượt và màu vàng kim đặc trưng. Chúng thông minh, thân thiện, trung thành và cực kỳ hòa đồng, phù hợp với gia đình có trẻ em. Golden Retriever ham học hỏi, thích vận động và tham gia các hoạt động ngoài trời, đồng thời có bản năng săn mồi cao và khả năng làm chó dẫn đường, hỗ trợ cứu hộ.  
  
Giống chó này cần vận động hằng ngày bằng các buổi đi dạo, chạy nhảy, bơi lội hoặc tham gia các trò chơi tương tác. Việc vận động thường xuyên giúp Golden Retriever duy trì sức khỏe thể chất, tinh thần minh mẫn và tránh các hành vi phá phách. Huấn luyện nên kiên nhẫn, nhất quán, sử dụng phương pháp tích cực để phát huy trí thông minh và tính cách thân thiện của chúng.  
  
Bộ lông dài, mượt của Golden Retriever cần chải 2 – 3 lần/tuần để loại bỏ lông rụng, tránh rối và giữ lông sạch sẽ. Tắm định kỳ, vệ sinh tai, răng và cắt móng đều đặn cũng rất quan trọng để duy trì sức khỏe tổng thể. Ngoài ra, kiểm tra và chăm sóc lông quanh mắt, tai và bàn chân sẽ giúp chó luôn gọn gàng và thoải mái.  
  
Chế độ dinh dưỡng nên giàu protein chất lượng cao từ thịt nạc, cá, trứng kết hợp rau củ quả và tinh bột nguyên hạt. Vì là giống chó năng động, khẩu phần ăn nên cân đối, chia đều trong ngày và hạn chế thức ăn dầu mỡ hoặc đồ ăn thừa từ con người.  
  
Về sức khỏe, Golden Retriever có thể gặp một số vấn đề về xương khớp, tim mạch, mắt và ung thư. Khám thú y định kỳ, chăm sóc lông và vận động hợp lý sẽ giúp chúng sống khỏe mạnh, vui vẻ và hạnh phúc bên gia đình.",40 – 70 triệu VNĐ,20 – 35 triệu VNĐ,2500 – 5000 USD,5,4,4,5,large,1.351091393310465
